ID.,HSWIM Ticket No.,HSWIM Date Time,HSWIM Vehicle Class,HSWIM Axle Conf,HSWIM Registration,Axle 1,Axle 2,Axle 3,Axle 4,Axle 5,Axle 6,Axle 7,Axle 8,Axle 9,Called In,Static Date,Ticket No,Station,Registation,Source,Destination,Cargo,Group 1,Group 2,Group 3,Group 4,Status,State,Static GVW,HSWIM GVW,Difference
"224","2066460","2022-07-26 09:04:34","5","2A","KDG163Q","4718","10325","0","0","0","0","0","0","0","YES","2022-07-26 09:13:10","BSKMA202207011087","BSKM","KDG163Q","KISUMU","KAMPALA","BUILDING/HARDWARE MATERIALS-TIMBER-PIPES-ASSORTED GOODS-FARM PRODUCE/INPUTS","5380","12100","0","0","O","S","17480","15043","2437"
"225","2066503","2022-07-26 09:06:51","26","6C","KBP726U","5326","7340","10005","6818","7829","9903","0","0","0","YES","2022-07-26 09:18:42","BSKMA202207011093","BSKM","KBP726U","KISUMU","KAMPALA","CONTAINER","6700","17800","23580","0","L","null","48080","47221","859"
"226","2066508","2022-07-26 09:07:25","26","6C","KCG827M","5723","8698","10354","6503","7652","9285","0","0","0","YES","2022-07-26 09:20:12","BSKMA202207011094","BSKM","KCG827M","KISUMU","KAMPALA","FUEL","6620","18780","23620","0","W","null","49020","48215","805"
"227","2066548","2022-07-26 09:09:33","26","6C","RAF138V","5185","8870","8985","9115","7615","7512","0","0","0","YES","2022-07-26 09:27:04","BSKMA202207011096","BSKM","RAF138V","NKRU","KAMPALA","CEMENT-50 KGS BAGS","6020","18660","24320","0","W","null","49000","47282","1718"
"228","2066552","2022-07-26 09:09:49","26","6C","RAF143V","5776","9426","9048","8818","8265","7427","0","0","0","YES","2022-07-26 09:31:07","BSKMA202207011097","BSKM","RAF143V","MSA`","KAMPALA","CEMNT","6160","18560","23360","0","W","null","48080","48760","-680"
"229","2066558","2022-07-26 09:10:12","26","6C","KCN270G","5697","8586","8520","8235","8741","9192","0","0","0","YES","2022-07-26 09:33:03","BSKMA202207011098","BSKM","KCN270G","KISUMU","KAMPALA","FUEL","6560","17200","24980","0","W","null","48740","48971","-231"
"230","2066636","2022-07-26 09:15:53","26","6C","KDB370W","5087","9893","7374","8278","8980","8803","0","0","0","YES","2022-07-26 09:34:26","BSKMA202207011099","BSKM","KDB370W","KISUMU","KAMPALA","","5840","17820","24120","0","W","null","47780","48415","-635"
"231","2066655","2022-07-26 09:17:12","26","6C","KCN087A","6337","9909","10065","8209","9059","10372","0","0","0","YES","2022-07-26 09:35:17","BSKMA202207011100","BSKM","KCN087A","KISUMU","KAMPALA","","6720","18040","24760","0","W","null","49520","53951","-4431"
"232","2066731","2022-07-26 09:21:10","26","6C","KDB365W","5334","9976","7343","8911","9205","7227","0","0","0","YES","2022-07-26 09:36:47","BSKMA202207011102","BSKM","KDB365W","MSA`","KAMPALA","CONTAINER","6200","17740","25120","0","W","null","49060","47996","1064"
"233","2066821","2022-07-26 09:26:31","26","6C","KBH137X","5844","605","6949","10295","9969","9567","0","0","0","YES","2022-07-26 09:39:05","BSKMA202207011105","BSKM","KBH137X","MSA`","KAMPALA","FUEL","5860","8460","24840","0","W","null","39160","43229","-4069"
"234","2066946","2022-07-26 09:34:40","5","2A","KCY358A","5431","11199","0","0","0","0","0","0","0","YES","2022-07-26 09:40:28","BSKMA202207011107","BSKM","KCY358A","KISUMU","KAMPALA","CHARCOAL, PLASTICS,BUILDING AND CONSTRUCTION MATERIALS, HARDWARE MATERIALS, FARM PRODUCE, ANIMAL PRODUCTS AND FEEDS, COMMERCIAL GOODS, HOUSEHOLD GOODS AND ASSORTED GOODS","4960","12380","0","0","O","S","17340","16630","710"
"235","2066979","2022-07-26 09:36:34","26","6C","KDE065L","5478","7757","8662","7696","8608","7858","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","46059","0"
"236","0","2022-07-26 09:36:34","26","6C","KDE065L","5478","7757","8662","7696","8608","7858","0","0","0","YES","2022-07-26 09:41:05","BSKMA202207011108","BSKM","KDE065L","MSA`","KAMPALA","FUEL","6900","17880","24900","0","W","null","49680","46059","3621"
"237","2067016","2022-07-26 09:40:03","26","6C","KCX093K","6991","9382","9408","6854","7063","6790","0","0","0","YES","2022-07-26 09:42:10","BSKMA202207011109","BSKM","KCX093K","KISUMU","KAMPALA","","7460","18360","23320","0","W","null","49140","46488","2652"
"238","2067094","2022-07-26 09:45:02","26","6C","KDG093N","4767","9548","10586","10092","9740","8238","0","0","0","YES","2022-07-26 09:49:03","BSKMA202207011003_4","BSKM","KDG093N","KISUMU","KAMPALA","MOLASSES","5260","18800","25460","0","O","T","49520","52971","-3451"
"239","2067111","2022-07-26 09:46:24","26","6C","KCH283G","5402","5141","6973","6241","9150","11228","0","0","0","YES","2022-07-26 09:55:21","BSKMA202207011014_5","BSKM","KCH283G","NAIROBI","KAMPALA","CONTAINER","5620","12140","25860","0","O","S","43620","44135","-515"
"240","2067217","2022-07-26 09:52:34","26","6C","KDD819A","5941","6884","10388","9311","9701","8541","0","0","0","YES","2022-07-26 10:00:03","BSKMA202207011111","BSKM","KDD819A","KISUMU","KAMPALA","PETROLEUM","5520","17920","24940","0","O","S","48380","50766","-2386"
"241","2067452","2022-07-26 10:07:49","26","6C","KCY340E","6359","6317","10525","7131","6153","9135","0","0","0","YES","2022-07-26 10:09:46","BSKMA202207011115","BSKM","KCY340E","KISUMU","KAMPALA","CONTAINER","6960","16900","21980","0","L","null","45840","45620","220"
"242","2067512","2022-07-26 10:12:07","26","6C","KDB279H","5823","9634","7981","11438","8899","8831","0","0","0","YES","2022-07-26 10:13:02","BSKMA202207011118","BSKM","KDB279H","MOMBASA","KAMPALA","PETROLEUM","6820","17380","25140","0","W","null","49340","52606","-3266"
"243","2067553","2022-07-26 10:15:00","26","6C","KCQ747F","6003","10933","5451","8929","7891","10512","0","0","0","YES","2022-07-26 10:16:01","BSKMA202207011119","BSKM","KCQ747F","MOMBASA","KAMPALA","PETROLEUM","6160","17100","24880","0","W","null","48140","49719","-1579"
