ID.,HSWIM Ticket No.,HSWIM Date Time,HSWIM Vehicle Class,HSWIM Axle Conf,HSWIM Registration,Axle 1,Axle 2,Axle 3,Axle 4,Axle 5,Axle 6,Axle 7,Axle 8,Axle 9,Called In,Static Date,Ticket No,Station,Registation,Source,Destination,Cargo,Group 1,Group 2,Group 3,Group 4,Status,State,Static GVW,HSWIM GVW,Difference
"244","2067556","2022-07-26 10:15:08","26","6C","KDE060L","5667","8632","9138","8767","8701","9049","0","0","0","YES","2022-07-26 10:17:02","BSKMA202207011120","BSKM","KDE060L","MOMBASA","KAMPALA","PETROLEUM","6540","18840","23920","0","W","null","49300","49954","-654"
"245","2067575","2022-07-26 10:16:27","26","6C","RAD181P","7170","6702","9436","8234","8076","8651","0","0","0","YES","2022-07-26 10:19:42","BSKMA202207011121","BSKM","RAD181P","KISUMU","KAMPALA","STEEL BARS","6460","15860","22820","0","L","null","45140","48269","-3129"
"246","2067605","2022-07-26 10:19:15","26","6C","KDB071Y","6748","9179","9850","7052","9032","10557","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","52418","0"
"247","0","2022-07-26 10:19:15","26","6C","KDB071Y","6748","9179","9850","7052","9032","10557","0","0","0","YES","2022-07-26 10:23:13","BSKMA202207011122","BSKM","KDB071Y","NAIROBI","KAMPALA","WHEAT","6960","17320","24960","0","W","null","49240","52418","-3178"
"248","2067614","2022-07-26 10:19:41","5","2A","KDB263N","5769","10259","0","0","0","0","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","16028","0"
"249","0","2022-07-26 10:19:41","5","2A","KDB263N","5769","10259","0","0","0","0","0","0","0","YES","2022-07-26 10:28:35","BSKMA202207011123","BSKM","KDB263N","KISUMU","BUSIA","ASSORTED GOODS","5560","9720","0","0","L","null","15280","16028","-748"
"250","2067689","2022-07-26 10:24:32","26","6C","KBY374A","5469","6515","9620","7715","9443","10179","0","0","0","YES","2022-07-26 10:30:11","BSKMA202207011124","BSKM","KBY374A","NAIROBI","KAMPALA","H/WARE","5900","16200","24300","0","W","null","46400","48941","-2541"
"251","2067696","2022-07-26 10:24:47","26","6C","KDC348Z","5605","10009","10141","7394","8092","9666","0","0","0","YES","2022-07-26 10:31:47","BSKMA202207011125","BSKM","KDC348Z","KISUMU","KAMPALA","PETROLEUM","6140","18640","24780","0","W","null","49560","50907","-1347"
"252","2067784","2022-07-26 10:30:57","26","6C","KDG093N","4803","9614","10786","10364","9836","9145","0","0","0","YES","2022-07-26 10:32:57","BSKMA202207011003_5","BSKM","KDG093N","KISUMU","KAMPALA","MOLASSES","5240","18840","25420","0","O","S","49500","54548","-5048"
"253","2067818","2022-07-26 10:33:16","26","6C","KDA884T","6389","9030","8031","9906","9358","7994","0","0","0","YES","2022-07-26 10:41:21","BSKMA202207011126","BSKM","KDA884T","KISUMU","KAMPALA","PETROLEUM","6180","18320","25080","0","W","null","49580","50708","-1128"
"254","2067850","2022-07-26 10:35:52","5","2A","KDD267R","5403","10997","0","0","0","0","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","16400","0"
"255","0","2022-07-26 10:35:52","5","2A","KDD267R","5403","10997","0","0","0","0","0","0","0","YES","2022-07-26 10:42:23","BSKMA202207011127","BSKM","KDD267R","KISUMU","KAMPALA","BUILDING AND CONSTRUCTION MATERIALS, HARDWARE MATERIALS, FARM PRODUCE, COMMERCIAL GOODS, HOUSEHOLD GOODS, PARCELS AND ASSORTED GOODS","5460","11820","0","0","O","S","17280","16400","880"
"256","2067933","2022-07-26 10:40:37","26","6C","KCG352G","6141","8937","8725","8072","9025","9419","0","0","0","YES","2022-07-26 10:43:29","BSKMA202207011128","BSKM","KCG352G","KISUMU","KAMPALA","PETROLEUM","6480","17460","24320","0","W","null","48260","50319","-2059"
"257","2068031","2022-07-26 10:46:20","26","6C","KDB264H","6536","9027","8172","10840","9141","8099","0","0","0","YES","2022-07-26 10:47:24","BSKMA202207011129","BSKM","KDB264H","MOMBASA","KAMPALA","PETROLEUM","6760","17640","25100","0","W","null","49500","51815","-2315"
"258","2068137","2022-07-26 10:54:10","5","2A","KCF556U","5509","12888","0","0","0","0","0","0","0","YES","2022-07-26 10:59:14","BSKMA202207011131","BSKM","KCF556U","NAIROBI","KAMPALA","PLASTIC, TIMBER, HOUSEHOLD ITEMS, CEREALS, ASSORTED GOODS, ANIMAL FEEDS, LIVESTOCKS, SISAL, HARDWARE/BUILDING MATERIAL FARM IN-PUTS AND FARM PRODUCE","5260","12040","0","0","O","S","17300","18397","-1097"
"259","2068196","2022-07-26 10:57:46","26","6C","UBE787E","6470","9453","9375","6149","9523","11095","0","0","0","YES","2022-07-26 11:02:53","BSKMA202207011133","BSKM","UBE787E","NAIROBI","KAMPALA","ASSORTED GOODS","6540","18880","24000","0","W","null","49420","52065","-2645"
"260","2068410","2022-07-26 11:12:51","5","2A","KDC445X","6403","11394","0","0","0","0","0","0","0","YES","2022-07-26 11:57:59","BSKSA202207005982","BSKS","KDC445X","KISUMU","KAMPALA","BUILDING/HARDWARE MATERIALS,FARM PRODUCES/INPUTS,TIMBER,TANKS,GROCERIES,SCRAPES,HOUSEHOLD GOODS AND ASSORTED GOODS.","6540","12040","0","0","O","S","18580","17797","783"
"261","0","2022-07-26 11:12:51","5","2A","KDC445X","6403","11394","0","0","0","0","0","0","0","YES","2022-07-26 11:13:51","BSKMA202207011137","BSKM","KDC445X","KISUMU","KAMPALA","BUILDING/HARDWARE MATERIALS,FARM PRODUCES/INPUTS,TIMBER,TANKS,GROCERIES,SCRAPES,HOUSEHOLD GOODS AND ASSORTED GOODS.","6600","12000","0","0","O","S","18600","17797","803"
"262","2068422","2022-07-26 11:13:59","26","6C","KDB230W","6073","11079","8243","6531","9076","9099","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","50101","0"
"263","0","2022-07-26 11:13:59","26","6C","KDB230W","6073","11079","8243","6531","9076","9099","0","0","0","YES","2022-07-26 11:15:00","BSKMA202207011138","BSKM","KDB230W","MSA`","KAMPALA","CONTAINER","6160","19560","23340","0","O","R","49060","50101","-1041"
"264","2068601","2022-07-26 11:24:45","5","2A","KBB102A","4940","12031","0","0","0","0","0","0","0","YES","2022-07-26 11:27:50","BSKMA202207011141","BSKM","KBB102A","KISUMU","KAMPALA","HARDWARE MATERIALS,TIMBER,PIPES,BUILDING
MATERIALS,CEREALS,FARM PRODUCE AND ASSORTED GOODS","5260","12420","0","0","O","S","17680","16971","709"
"265","2068641","2022-07-26 11:27:42","26","6C","KCS225A","5930","8051","8248","7547","8610","8611","0","0","0","YES","2022-07-22 18:30:30","BSKSA202207005093","BSKS","KCS225A","KAMPALA","MOMBASA","CONTAINER","6420","18360","24860","0","W","null","49640","46997","2643"
"266","2068681","2022-07-26 11:30:34","26","6C","KCH088H","6503","2109","12995","8554","8102","8221","0","0","0","YES","2022-07-02 07:31:28","BSKMA202207000584","BSKM","KCH088H","NAIROBI","KAMPALA","CONTAINER","5900","15500","23980","0","L","null","45380","46484","-1104"
"267","2068687","2022-07-26 11:30:40","26","6C","KCG577J","6143","5312","10077","7495","9645","10641","0","0","0","YES","2022-07-26 11:36:25","BSKMA202207011146","BSKM","KCG577J","`NRBI","KAMPALA","CONTAINER","6640","16120","24880","0","W","null","47640","49313","-1673"
"268","2068719","2022-07-26 11:33:07","26","6C","KDH358X","5853","8928","9108","7841","9393","8111","0","0","0","YES","2022-07-26 11:37:43","BSKMA202207011147","BSKM","KDH358X","KISUMU","KAMPALA","KOKOTO","6280","18800","23120","0","W","null","48200","49234","-1034"
"269","2068726","2022-07-26 11:33:17","26","6C","KCZ315D","5679","9035","9434","9585","8393","6591","0","0","0","YES","2022-07-26 11:39:04","BSKMA202207011148","BSKM","KCZ315D","KISUMU","KAMPALA","KOKOTO","6200","18560","23920","0","W","null","48680","48717","-37"
"270","2068758","2022-07-26 11:34:43","26","6C","KDE129S","5199","6674","8218","8650","8359","8942","0","0","0","YES","2022-07-26 11:40:21","BSKSA202207005972_1","BSKM","KDE129S","UG","`NRBI","ASSORTED GOODS","5880","18460","24500","0","W","null","48840","46042","2798"
"271","2068827","2022-07-26 11:39:11","26","6C","KDB230W","6340","11030","8157","6477","9302","10199","0","0","0","YES","2022-07-26 11:42:59","BSKMA202207011138_1","BSKM","KDB230W","MSA`","KAMPALA","CONTAINER","6120","19300","23640","0","O","T","49060","51505","-2445"
"272","2068923","2022-07-26 11:44:47","26","6C","KCZ053W","5750","9454","9376","9697","8209","8125","0","0","0","YES","2022-07-26 12:01:28","BSKMA202207011153","BSKM","KCZ053W","KISUMU","KAMPALA","FUEL","5980","18240","24500","0","W","null","48720","50611","-1891"
"273","2068986","2022-07-26 11:48:29","26","6C","KBU924W","5738","6962","6719","7462","8156","9453","0","0","0","YES","2022-07-26 12:02:25","BSKMA202207011154","BSKM","KBU924W","MSA`","KAMPALA","WHEAT","6180","15440","23180","0","L","null","44800","44490","310"
"274","2069142","2022-07-26 11:57:31","5","2A","KCK130F","5338","11556","0","0","0","0","0","0","0","YES","0001-01-01 00:00:00","","","","","","","0","0","0","0","","","0","16894","0"
"275","0","2022-07-26 11:57:31","5","2A","KCK130F","5338","11556","0","0","0","0","0","0","0","YES","2022-07-26 12:05:55","BSKMA202207011157","BSKM","KCK130F","KISUMU","KAMPALA","HARDWARE MATERIALS,TIMBER,PIPES,BUILDING MATERIALS,CEREALS,FARM PRODUCE AND ASSORTED GOODS","5680","12320","0","0","O","S","18000","16894","1106"
